sid,search,"splunk_server","_time","is_realtime",provenance,"api_et","api_lt","event_count","exec_time","result_count","scan_count","search_et","search_lt",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_api_et","__mv_api_lt","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_search_et","__mv_search_lt","__mv_status","__mv_total_run_time"
"rt_md_1589224249.3","| metadata type=sourcetypes | search totalCount > 0",so,"1589224249.291740",1,"UI:Search",,,0,1589224249,0,0,,,canceled,"115.051",,,,,,,,,,,,,,,,
"1589224363.48","search index=main sourcetype=ng",so,"1589224363.705792",0,"UI:Search","1589137200.000000000","1589224363.000000000",17,1589224363,17,17,"1589137200.000000000","1589224363.000000000",completed,"0.147",,,,,,,,,,,,,,,,
"1589225288.50","| loadjob 1589224363.48 events=t ignore_running=f require_finished=f | search index=* OR index=_* sourcetype=ng | rex field=_raw ""^(?<client_ip>\\d{1,3}\\.\\d{1,3}\\.\\d{1,3}\\.\\d{1,3})"" offset_field=_extracted_fields_bounds0 | rex field=_raw ""\\\""(?<method>[A-Z]{3,4})\\s\\/"" offset_field=_extracted_fields_bounds1 | rex field=_raw ""\\s(?<path>\\/[^\\s\\?]+)"" offset_field=_extracted_fields_bounds2 | rex field=_raw ""(?<path>\\?[^\\s]+)\\sHTTP"" offset_field=_extracted_fields_bounds3 | rex field=_raw ""^(?:[^\\-\\n]*\\-){3}\""\\s+\""(?P<useragent>[^\""]+)"" offset_field=_extracted_fields_bounds4 | head 1000",so,"1589225288.212899",0,"UI:FieldExtractor",,,17,1589225288,17,0,,,completed,"0.052000000000000005",,,,,,,,,,,,,,,,
"1589225294.52","| loadjob 1589224363.48 events=t ignore_running=f require_finished=f | search index=* OR index=_* sourcetype=ng | rex field=_raw ""^(?<client_ip>\\d{1,3}\\.\\d{1,3}\\.\\d{1,3}\\.\\d{1,3})"" offset_field=_extracted_fields_bounds0 | rex field=_raw ""\\\""(?<method>[A-Z]{3,4})\\s\\/"" offset_field=_extracted_fields_bounds1 | rex field=_raw ""\\s(?<path>\\/[^\\s\\?]+)"" offset_field=_extracted_fields_bounds2 | rex field=_raw ""(?<path>\\?[^\\s]+)\\sHTTP"" offset_field=_extracted_fields_bounds3 | rex field=_raw ""^(?:[^\\-\\n]*\\-){3}\""\\s+\""(?P<useragent>[^\""]+)"" offset_field=_extracted_fields_bounds4 | head 1000",so,"1589225294.154807",0,"UI:FieldExtractor",,,17,1589225294,17,0,,,completed,"0.022",,,,,,,,,,,,,,,,
"1589225309.55","| loadjob 1589224363.48 events=t ignore_running=f require_finished=f | search index=* OR index=_* sourcetype=ng | rex field=_raw ""(?ms)^(?:[^ \\n]* ){8}(?P<code>\\d+)"" offset_field=_extracted_fields_bounds | rex field=_raw ""^(?<client_ip>\\d{1,3}\\.\\d{1,3}\\.\\d{1,3}\\.\\d{1,3})"" offset_field=_extracted_fields_bounds0 | rex field=_raw ""\\\""(?<method>[A-Z]{3,4})\\s\\/"" offset_field=_extracted_fields_bounds1 | rex field=_raw ""\\s(?<path>\\/[^\\s\\?]+)"" offset_field=_extracted_fields_bounds2 | rex field=_raw ""(?<path>\\?[^\\s]+)\\sHTTP"" offset_field=_extracted_fields_bounds3 | rex field=_raw ""^(?:[^\\-\\n]*\\-){3}\""\\s+\""(?P<useragent>[^\""]+)"" offset_field=_extracted_fields_bounds4 | head 1000",so,"1589225309.031668",0,"UI:FieldExtractor",,,17,1589225309,17,0,,,completed,"0.026000000000000002",,,,,,,,,,,,,,,,
"1589225328.58","search index=_* OR index=* sourcetype=ng",so,"1589225328.205093",0,"UI:Search","1589137200.000000000","1589225328.000000000",17,1589225328,17,17,"1589137200.000000000","1589225328.000000000",completed,"0.221",,,,,,,,,,,,,,,,
"rt_md_1589225388.59","| metadata type=sourcetypes | search totalCount > 0",so,"1589225388.410147",1,"UI:Search",,,,,,,,,,,,,,,,,,,,,,,,,,
